datetime,date,open,high,low,close,volume,datetime,RSI_14,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,EMA_9,WMA_9,SMA_9,ATRr_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,VWAP_D,SUPERT_7_2.0,SUPERTd_7_2.0,SUPERTl_7_2.0,SUPERTs_7_2.0,VWAP_CROSS,SUPERTREND_CROSS,MACD_CROSS,EMA_CROSS,RSI_CROSS
2022-12-19 11:50:00,2022-12-19 11:50:00+05:30,18544.85,18550.65,18538.35,18548.0,50500,2022-12-19 11:50:00,71.60844391910067,97.83712759881173,89.65967723999582,18533.935083674925,18537.88888888889,18530.71111111111,14.855830756987913,15.807405006187764,,,18504.322447257386,18518.804966137734,1,18518.804966137734,,0,1,0,0,1
2022-12-19 11:55:00,2022-12-19 11:55:00+05:30,18548.2,18549.35,18541.5,18543.05,7550,2022-12-19 11:55:00,67.5260625989682,90.79162853330483,94.02727745107161,18535.75806693994,18540.356666666667,18534.494444444445,14.303893832179632,15.715437146685872,,,18505.078495424998,18520.570483043164,1,18520.570483043164,,0,1,0,0,1
2022-12-19 12:00:00,2022-12-19 12:00:00+05:30,18543.05,18549.0,18533.6,18536.0,7350,2022-12-19 12:00:00,62.09626763567144,75.19547475758262,87.94141029656639,18535.80645355195,18540.65777777778,18536.944444444445,14.389617420316121,14.901896092698735,1.2054761051735525,13.696419987525182,18505.696312108645,18520.570483043164,1,18520.570483043164,,0,1,0,0,1
2022-12-19 12:05:00,2022-12-19 12:05:00+05:30,18536.0,18541.1,18531.35,18536.15,9100,2022-12-19 12:05:00,62.165975434668034,57.96681938659236,74.65130755915995,18535.875162841563,18540.498888888887,18538.438888888886,14.029208255875519,14.106650012308819,0.32818401982690837,13.77846599248191,18506.358802704854,18520.570483043164,1,18520.570483043164,,0,1,0,0,1
2022-12-19 12:10:00,2022-12-19 12:10:00+05:30,18536.15,18555.85,18532.2,18555.85,14600,2022-12-19 12:10:00,69.97564601905714,61.15555387105521,64.77261600507673,18539.87013027325,18543.981111111112,18542.644444444446,14.771915425738737,14.89434439362958,0.892702720918134,14.001641672711447,18507.759805504305,18520.570483043164,1,18520.570483043164,,0,1,0,0,1
2022-12-19 12:15:00,2022-12-19 12:15:00+05:30,18555.85,18568.0,18555.85,18556.9,17800,2022-12-19 12:15:00,70.3272195522469,75.1687009543797,64.7636914040091,18543.276104218603,18546.83222222222,18545.855555555554,14.570669548146045,15.425508431490016,1.1390934070228553,14.28641502446716,18509.829644808742,18534.41807570685,1,18534.41807570685,,0,1,0,0,1
2022-12-19 12:20:00,2022-12-19 12:20:00+05:30,18560.0,18560.0,18553.05,18560.0,11150,2022-12-19 12:20:00,71.39230026152205,91.7106701662682,76.01164166390105,18546.620883374882,18549.661111111112,18547.4,13.988842081552354,15.913166769623786,1.3014013961253,14.611765373498486,18510.98318199834,18534.41807570685,1,18534.41807570685,,0,1,0,0,1
2022-12-19 12:25:00,2022-12-19 12:25:00+05:30,18560.0,18565.0,18556.35,18565.0,6900,2022-12-19 12:25:00,73.07123460249763,95.97061723933314,87.61666278666034,18550.296706699904,18553.18111111111,18549.533333333333,13.583224602537262,16.51274903716694,1.5207869309347632,14.991962106232178,18511.73474455924,18536.30131571427,1,18536.30131571427,,0,1,0,0,1
2022-12-19 12:30:00,2022-12-19 12:30:00+05:30,18565.0,18567.55,18544.0,18544.95,10650,2022-12-19 12:30:00,58.29642882463043,65.9799805075649,84.55375597105541,18549.227365359926,18552.26444444445,18549.544444444447,14.337021471031536,15.194897548350127,0.16234835369435885,15.032549194655768,18512.631640977575,18536.30131571427,1,18536.30131571427,,0,1,0,1,1
2022-12-19 12:35:00,2022-12-19 12:35:00+05:30,18544.95,18548.9,18540.0,18548.4,9900,2022-12-19 12:35:00,59.80256111796628,36.73130759659358,66.22730178116387,18549.061892287944,18552.035555555554,18549.58888888889,13.927535099603023,14.264445270237047,-0.6144831395349772,14.878928409772024,18513.301103741498,18536.30131571427,1,18536.30131571427,,0,1,-1,0,1
